% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=918622, Thu May  2 20:17:43 2019, <python>{}</python>
1 7 0.2783176200834846 0 0 5.755963933630382 5.386023007739578 0.24994773635666837
2 14 0.39445027601621513 0 0 7.430876597153313 7.969867757277507 0.3987765923545609
3 21 0.3424793622981321 0 0 5.061761786446466 6.690679335144655 0.3957628016391934
4 28 0.29432501615336876 0 0 3.9979930749962977 5.0636164123011405 0.3553763309515242
5 35 0.22713986953662715 0 0 2.944322885575928 3.7528223968072245 0.24024382201133987
6 42 0.2529937134454999 0 0 3.9170525087681938 4.004932405488023 0.2607620287927521
7 49 0.28569586918418677 0 0 4.110324917832641 4.810665397233884 0.3050142769638955
8 56 0.26118339609620594 0 0 3.2767686573902197 3.929087702455344 0.28887680683216316
9 63 0.22870147003639113 0 0 2.4901813958517267 3.3326956071806677 0.2480661126861431
10 70 0.22631064199944015 0 0 2.4092487995021736 3.3338649553034836 0.24981011553387042
11 77 0.21840118915465997 0 0 2.2095806142368852 3.0170046735756775 0.2493835953260825
12 84 0.19497049514570985 0 0 1.8940828150577411 2.2411865194721505 0.23501986181160334
13 91 0.2001376440792818 0 0 1.9337426592727007 1.941967346214788 0.2744127134722193
14 98 0.20646064294574343 0 0 1.9370344868619447 1.8760753996472832 0.272457370243959
15 105 0.1769598899242963 0 0 1.4858087698150586 1.5842895214360588 0.23032427415992815
16 112 0.15520585019850702 0 0 1.3353235827339514 1.2221760141105553 0.18568888454306778
17 119 0.13185124829114528 0 0 1.1203014168988237 0.8896077150236152 0.1532265409659677
18 126 0.14387849257224916 0 0 1.1011368680019626 1.0376518555814134 0.19273364799194684
18 126 0.14387849257224916 0 0 1.1011368680019626 1.0376518555814134 0.19273364799194684
