% # columns="iteration, evaluation, void, void, void, xmean", seed=918622, Thu May  2 20:17:43 2019, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 7 0 0 0 8.108296332212774 -5.603532865904118 0.6185874620388921
2 14 0 0 0 7.584021427169904 -10.65158115158011 0.13656633661266054
3 21 0 0 0 9.509121337854566 -11.580146922053904 0.5798021405938841
4 28 0 0 0 7.241527337866473 -10.331392379680342 0.7369597385836812
5 35 0 0 0 7.8928502555383435 -10.780257177612956 0.7412878523675694
6 42 0 0 0 11.81426782225531 -14.097144922412499 0.7255633921655263
7 49 0 0 0 10.765952848217825 -16.85919936175865 0.9643113771740429
8 56 0 0 0 11.681528295051631 -15.642276433364474 1.0580959691445841
9 63 0 0 0 12.443276269556682 -17.373424239446148 1.0486895847569837
10 70 0 0 0 14.13828017283118 -19.3634746757859 1.1080648219231097
11 77 0 0 0 13.750500208088113 -17.329706015235356 1.3084106965766067
12 84 0 0 0 13.22743000523172 -16.82531922787947 1.0004784807155795
13 91 0 0 0 12.453396051873781 -17.08729262087713 0.7765875372525451
14 98 0 0 0 12.986934885008512 -16.957456525423392 0.626578350829829
15 105 0 0 0 13.309806658272814 -17.033334248912535 0.646053284517862
16 112 0 0 0 14.161448401076468 -16.60922104532147 0.7347621263863182
17 119 0 0 0 14.029942753039052 -16.51713041577141 0.8342195596057227
18 126 0 0 0 14.52883619049692 -17.317986812490847 0.9952430216712922
18 126 0 0 0 14.52883619049692 -17.317986812490847 0.9952430216712922
